Sequence,Level,Label,definition
DDC,1,Labels (Hierarchical),"A system of classification where categories are organized in a tree-like structure with parent-child relationships, enabling the arrangement of knowledge into progressively more specific levels through nested categories that inherit properties from their broader parent classes."
000,1,"Computer science, information, and general works","The interdisciplinary field encompassing the theoretical foundations of information and computation, including the study of algorithms, data structures, programming languages, and computational complexity, along with the systematic organization and representation of knowledge through formal systems and the design of computational architectures that process and transform information."
000,2,"Computer science, knowledge, and systems","The interdisciplinary field encompassing the theoretical foundations of information and computation, including the study of algorithms, data structures, programming languages, and computational complexity, along with the systematic organization and representation of knowledge through formal systems and the design of computational architectures that process and transform information."
000,3,"Computer science, information and general works","The interdisciplinary field encompassing the theoretical foundations of information and computation, including the study of algorithms, data structures, programming languages, and computational complexity, along with the systematic organization and representation of knowledge through formal systems and the design of computational architectures that process and transform information."
001,3,Knowledge,"The systematic organization, representation, and understanding of information, facts, principles, and skills acquired through experience, education, or reasoning, particularly as it relates to computational systems and information science, involving the study of how knowledge is structured, stored, processed, and communicated through formal systems and technological means."
002,3,"The book (writing, libraries, and book-related topics)","The study of written works as physical and digital objects, including their creation, production, preservation, organization, and dissemination through libraries and other information repositories, examining the evolution of writing systems, book formats, publishing technologies, and information storage methods within the context of computational and information science."
003,3,Systems,"The study of organized, interconnected components that work together to achieve specific objectives, particularly focusing on computational systems, information systems, and formal systems, including their design, analysis, modeling, optimization, and implementation, with emphasis on how components interact to process information and perform computational tasks."
004,3,Data processing and computer science,"The practical application of computer science principles to the collection, manipulation, analysis, and transformation of data, involving the development and implementation of algorithms, software systems, and computational techniques to extract meaningful information from raw data, solve problems, and automate information processing tasks."
005,3,"Computer programming, programs, and data","The creation and implementation of instructions that computers execute to perform specific tasks, encompassing programming languages, software development methodologies, program design, testing, and maintenance, along with the structured organization, storage, and manipulation of data that programs process to achieve computational objectives."
006,3,"Special computer methods (e.g. AI, multimedia, VR)","Advanced computational techniques and methodologies that extend beyond traditional computing approaches, including artificial intelligence systems that simulate human intelligence, multimedia systems that integrate multiple forms of digital content, and virtual reality systems that create immersive simulated environments, all employing specialized algorithms and hardware to process complex information in innovative ways."
010,2,Bibliographies,"The systematic compilation and description of written works, organized by author, subject, or other criteria to document publications and facilitate research, involving the creation of comprehensive lists that identify, classify, and provide access to books, articles, and other documents within specific domains or collections."
010,3,Bibliography,"The systematic compilation and description of written works, organized by author, subject, or other criteria to document publications and facilitate research, involving the creation of comprehensive lists that identify, classify, and provide access to books, articles, and other documents within specific domains or collections."
011,3,Bibliographies,"Comprehensive lists or catalogs of written works that systematically document publications, typically organized to facilitate research by identifying, describing, and providing access to books, articles, and other documents according to established bibliographic principles and standards."
012,3,Bibliographies of individuals,"Systematic compilations that document and describe the complete or selected written works of specific authors, scholars, or notable figures, providing comprehensive listings of their publications, often including details about editions, translations, and related scholarly works about their oeuvre."
014,3,Bibliographies of anonymous and pseudonymous works,"Specialized compilations that systematically document and describe written works whose authors are unknown or who published under assumed names, employing investigative methods to attribute authorship when possible while maintaining accurate records of publications with uncertain or concealed authorship."
015,3,Bibliographies of works from specific places,"Geographically focused compilations that systematically document and describe written works originating from particular regions, countries, cities, or cultural areas, often reflecting local publishing traditions, languages, and subject matter specific to those locations."
016,3,Bibliographies of works on specific subjects,"Thematically organized compilations that systematically document and describe written works focused on particular topics, disciplines, or fields of study, providing comprehensive coverage of publications within defined subject areas to support specialized research and scholarship."
017,3,General subject catalogs,"Comprehensive bibliographic tools that organize and provide access to written works according to broad subject classifications, typically covering multiple disciplines or knowledge domains within a single systematic arrangement to facilitate discovery across diverse fields of study."
018,3,"Catalogs arranged by author, date, etc. [moved to 017]","Bibliographic compilations organized according to formal attributes such as author names, publication dates, or other metadata elements, employing consistent arrangement principles that enable systematic access to written works based on specific bibliographic characteristics rather than subject content."
019,3,Dictionary catalogs [moved to 017],"Bibliographic tools that employ alphabetical arrangement of entries, typically combining author, title, and subject access points in a single alphabetical sequence, creating a unified finding aid that allows users to locate written works through multiple access points within one comprehensive alphabetical listing."
