ddc_number,level1,level2,level3
000,"Computer science, information, and general works",General works,"Computer science, knowledge, and systems"
001,"Computer science, information, and general works",General works,Knowledge
002,"Computer science, information, and general works",General works,"The book (writing, libraries, and book-related topics)"
003,"Computer science, information, and general works",General works,Systems
004,"Computer science, information, and general works",General works,Data processing and computer science
005,"Computer science, information, and general works",General works,"Computer programming, programs, and data"
006,"Computer science, information, and general works",General works,"Special computer methods (e.g. AI, multimedia, VR)"
007,"Computer science, information, and general works",General works,009
010,"Computer science, information, and general works",Bibliography,Bibliographies
011,"Computer science, information, and general works",Bibliography,Bibliographies
012,"Computer science, information, and general works",Bibliography,Bibliographies of individuals
013,"Computer science, information, and general works",Bibliography,
014,"Computer science, information, and general works",Bibliography,Bibliographies of anonymous and pseudonymous works
015,"Computer science, information, and general works",Bibliography,Bibliographies of works from specific places
016,"Computer science, information, and general works",Bibliography,Bibliographies of works on specific subjects
017,"Computer science, information, and general works",Bibliography,General subject catalogs
018,"Computer science, information, and general works",Bibliography,"Catalogs arranged by author, date, etc."
019,"Computer science, information, and general works",Bibliography,Dictionary catalogs
020,"Computer science, information, and general works",Library and information sciences,Library and information sciences
021,"Computer science, information, and general works",Library and information sciences,"Library relationships (with archives, information centers, etc.)"
022,"Computer science, information, and general works",Library and information sciences,Administration of physical plant
023,"Computer science, information, and general works",Library and information sciences,Personnel management
024,"Computer science, information, and general works",Library and information sciences,
025,"Computer science, information, and general works",Library and information sciences,Library operations
026,"Computer science, information, and general works",Library and information sciences,Libraries for specific subjects
027,"Computer science, information, and general works",Library and information sciences,General libraries
028,"Computer science, information, and general works",Library and information sciences,Reading and use of other information media
029,"Computer science, information, and general works",Library and information sciences,
030,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias and books of facts
031,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in American English
032,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in English
033,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in other Germanic languages
034,"Computer science, information, and general works",Encyclopedias and books of facts,"Encyclopedias in French, Occitan, and Catalan"
035,"Computer science, information, and general works",Encyclopedias and books of facts,"Encyclopedias in Italian, Romanian, and related languages"
036,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in Spanish and Portuguese
037,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in Slavic languages
038,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in Scandinavian languages
039,"Computer science, information, and general works",Encyclopedias and books of facts,Encyclopedias in other languages
040,"Computer science, information, and general works",Unassigned,Unassigned — formerly Biographies
050,"Computer science, information, and general works","Magazines, journals and serials","Magazines, journals and serials"
051,"Computer science, information, and general works","Magazines, journals and serials",Serials in American English
052,"Computer science, information, and general works","Magazines, journals and serials",Serials in English
053,"Computer science, information, and general works","Magazines, journals and serials",Serials in other Germanic languages
054,"Computer science, information, and general works","Magazines, journals and serials","Serials in French, Occitan, and Catalan"
